asset_tag,serial_number,brand,model,location,status,student_name,student_id,notes
SCH-001,SN-DL-5420-001,Dell,Latitude 5420,Room 101,available,,,Ready for assignment
SCH-002,SN-HP-450-002,HP,ProBook 450 G8,Room 202,assigned,Michael Johnson,DI-104582,Assigned for Spring semester
SCH-003,SN-LN-T14-003,Lenovo,ThinkPad T14,IT Office,repair,,,Screen cracked - waiting for parts
SCH-004,SN-AP-MBA-004,Apple,MacBook Air M1,Library,lost,,,Reported missing during inventory check
SCH-005,SN-DL-3110-005,Dell,Chromebook 3110,Storage,retired,,,Old device - retired
SCH-006,SN-HP-840-006,HP,EliteBook 840 G7,Room 305,available,,,Charged and ready
SCH-007,SN-LN-X13-007,Lenovo,ThinkPad X13,IT Office,assigned,Olivia Brown,DI-418205,Assigned to staff member
SCH-008,SN-AS-VB-008,Asus,VivoBook 15,Room 110,repair,,,Battery replacement needed
SCH-009,SN-AC-SP-009,Acer,Swift 3,Counseling Office,available,,,Spare laptop
SCH-010,SN-MS-SL-010,Microsoft,Surface Laptop 4,Library,assigned,Madison Lee,DI-975603,Faculty use
